09/05,09/12,09/19,09/26,10/03,10/09,10/17,11/01
25,29,31,39,40,32,41,46
30,36,28,36,32,34,41,39
32,35,32,30,38,33,40,42
35,31,33,34,35,39,45,39
35,31,29,27,34,33,40,45
35,30,30,37,33,34,40,37
30,32,32,30,46,39,28,40
24,28,33,33,32,37,36,40
32,30,30,31,33,41,35,43
30,27,32,35,33,30,37,43
34,33,36,31,25,32,35,43
33,32,32,35,30,41,37,38
32,29,35,25,35,39,38,44
29,30,32,36,34,42,39,40
27,29,33,32,22,40,37,40
29,32,37,35,30,28,40,39
32,33,32,36,37,34,38,40
31,34,35,33,35,36,38,50
35,34,34,34,36,40,35,43
33,34,31,40,33,35,37,45
25,34,22,31,35,35,42,44
29,35,31,36,35,34,41,38
31,29,27,39,37,41,32,37
29,33,38,37,34,36,42,38
32,31,30,31,35,40,38,41
23,30,30,38,39,31,39,40
25,30,30,39,36,38,33,40
25,32,36,36,34,37,40,45
29,28,35,39,36,30,38,38
27,30,30,30,41,35,42,37
26,30,35,32,32,36,43,46
24,35,31,35,34,39,37,35
23,33,32,27,34,37,36,40
30,33,39,37,38,43,29,34
29,32,27,33,38,40,32,44
29,30,29,44,32,38,37,48
30,28,35,37,31,44,43,38
34,31,30,38,39,37,36,30
23,32,26,34,26,37,37,37
27,37,33,36,37,29,35,45
