09/05,09/12,09/19,09/26,10/03,10/09,10/17,11/01
32,30,30,36,36,35,47,42
31,26,27,34,37,36,34,33
35,25,33,34,38,37,38,22
36,31,31,30,35,34,39,34
35,34,26,30,36,40,34,33
37,30,27,34,23,30,37,32
33,26,29,32,33,37,38,36
31,25,31,25,34,34,37,37
25,30,27,31,33,35,31,28
22,28,30,39,35,25,31,20
26,34,27,36,41,30,30,37
32,30,26,30,30,23,34,38
25,24,32,27,36,34,33,35
28,22,34,39,44,30,34,29
32,28,31,29,31,27,40,27
35,35,26,33,35,37,46,29
36,38,20,40,32,40,38,34
35,25,29,35,36,41,27,22
35,30,19,35,36,40,38,26
34,32,22,35,38,31,41,49
35,35,31,31,31,30,33,37
35,27,36,25,33,27,37,34
36,30,30,33,30,28,32,34
25,28,33,32,30,40,26,39
24,33,27,30,31,28,35,38
30,27,29,42,29,32,28,30
30,27,32,30,31,35,42,37
38,27,27,34,37,37,38,46
30,35,22,28,35,36,39,36
33,25,25,38,36,30,38,33
35,30,36,42,30,29,34,39
25,27,21,30,29,42,37,30
33,27,30,32,27,34,43,40
39,30,31,26,36,31,38,27
30,28,33,29,27,36,42,32
28,28,23,37,28,32,40,38
33,36,27,27,35,41,35,36
27,36,31,27,30,44,30,43
33,30,29,27,38,32,45,34
25,27,31,33,36,31,29,30
